genbank_accession	gisaid_epi_isl
LC528232.1	EPI_ISL_412968
LC528233.1	EPI_ISL_412969
LC529905.1	EPI_ISL_414511
LC534418.1	EPI_ISL_420889
LC534419.1	EPI_ISL_420890
LC542809.1	EPI_ISL_434562
LC542976.1	EPI_ISL_434561
LC546038.1	EPI_ISL_445183
LC547518.1	EPI_ISL_419296
LC547519.1	EPI_ISL_419297
LC547520.1	EPI_ISL_419298
LC547521.1	EPI_ISL_419299
LC547522.1	EPI_ISL_419300
LC547523.1	EPI_ISL_419301
LC547524.1	EPI_ISL_419302
LC547525.1	EPI_ISL_419303
LC547526.1	EPI_ISL_419304
LC547527.1	EPI_ISL_419305
LC547528.1	EPI_ISL_419306
LC547529.1	EPI_ISL_419307
LC547530.1	EPI_ISL_419308
LC547531.1	EPI_ISL_419309
LC547532.1	EPI_ISL_419310
LC547533.1	EPI_ISL_419311
LC549340.1	EPI_ISL_462446
LC553257.1	EPI_ISL_462439
LC553258.1	EPI_ISL_462440
LC553260.1	EPI_ISL_462442
LC553262.1	EPI_ISL_462444
LC553263.1	EPI_ISL_462445
LC553269.1	EPI_ISL_468724
LC553270.1	EPI_ISL_468725
LC556315.1	EPI_ISL_479676
LC556316.1	EPI_ISL_479677
LC556317.1	EPI_ISL_479678
LC556318.1	EPI_ISL_479679
LC556319.1	EPI_ISL_479680
LC556320.1	EPI_ISL_479681
LC556321.1	EPI_ISL_479682
LC556322.1	EPI_ISL_479683
LC556323.1	EPI_ISL_479684
LC556324.1	EPI_ISL_479685
LC565407.1	EPI_ISL_486890
LC565408.1	EPI_ISL_486891
LC565409.1	EPI_ISL_486892
LC565410.1	EPI_ISL_486893
LC565411.1	EPI_ISL_486894
LC565412.1	EPI_ISL_486895
LC565414.1	EPI_ISL_486896
LC567845.1	EPI_ISL_486897
LC567846.1	EPI_ISL_486898
LC567847.1	EPI_ISL_486899
LC567848.1	EPI_ISL_486900
LC567849.1	EPI_ISL_486901
LC567850.1	EPI_ISL_486902
LC567851.1	EPI_ISL_486903
LC567852.1	EPI_ISL_486904
LC567853.1	EPI_ISL_486905
LC567854.1	EPI_ISL_486906
LC567855.1	EPI_ISL_486907
LC567856.1	EPI_ISL_486908
LC567857.1	EPI_ISL_486909
LC567858.1	EPI_ISL_486910
LC567859.1	EPI_ISL_486911
LC570961.1	EPI_ISL_416565
LC570962.1	EPI_ISL_416566
LC570963.1	EPI_ISL_416567
LC570967.1	EPI_ISL_416569
LC570968.1	EPI_ISL_416570
LC570969.1	EPI_ISL_416571
LC570970.1	EPI_ISL_416572
LC570971.1	EPI_ISL_416573
LC570972.1	EPI_ISL_416574
LC570973.1	EPI_ISL_416575
LC570974.1	EPI_ISL_416576
LC570975.1	EPI_ISL_416577
LC570976.1	EPI_ISL_416578
LC570977.1	EPI_ISL_416579
LC570978.1	EPI_ISL_416580
LC570979.1	EPI_ISL_416581
LC570980.1	EPI_ISL_416582
LC570981.1	EPI_ISL_416583
LC570982.1	EPI_ISL_416584
LC570983.1	EPI_ISL_416585
LC570984.1	EPI_ISL_416586
LC570985.1	EPI_ISL_416587
LC570986.1	EPI_ISL_416588
LC570987.1	EPI_ISL_416589
LC570988.1	EPI_ISL_416590
LC570989.1	EPI_ISL_416591
LC570990.1	EPI_ISL_416592
LC570991.1	EPI_ISL_416593
LC570992.1	EPI_ISL_416594
LC570993.1	EPI_ISL_416595
LC570994.1	EPI_ISL_416596
LC570995.1	EPI_ISL_416597
LC570996.1	EPI_ISL_416598
LC570997.1	EPI_ISL_416599
LC570998.1	EPI_ISL_416600
LC570999.1	EPI_ISL_416601
LC571002.1	EPI_ISL_416603
LC571003.1	EPI_ISL_416604
LC571004.1	EPI_ISL_416605
LC571005.1	EPI_ISL_416606
LC571006.1	EPI_ISL_416607
LC571007.1	EPI_ISL_416608
LC571008.1	EPI_ISL_416609
LC571009.1	EPI_ISL_416610
LC571010.1	EPI_ISL_416611
LC571011.1	EPI_ISL_416612
LC571012.1	EPI_ISL_416613
LC571013.1	EPI_ISL_416614
LC571019.1	EPI_ISL_416617
LC571022.1	EPI_ISL_416619
LC571023.1	EPI_ISL_416620
LC571024.1	EPI_ISL_416621
LC571025.1	EPI_ISL_416622
LC571030.1	EPI_ISL_416624
LC571031.1	EPI_ISL_416625
LC571034.1	EPI_ISL_416627
LC571035.1	EPI_ISL_416628
LC571036.1	EPI_ISL_416629
LC571037.1	EPI_ISL_416630
LC571038.1	EPI_ISL_416631
LC571039.1	EPI_ISL_416632
LC571040.1	EPI_ISL_416633
LC571041.1	EPI_ISL_416634
LC581364.1	EPI_ISL_582135
LC581365.1	EPI_ISL_582136
LC581366.1	EPI_ISL_582137
LC581367.1	EPI_ISL_582138
LC581368.1	EPI_ISL_582139
LC581369.1	EPI_ISL_582140
LC581370.1	EPI_ISL_582141
LC581371.1	EPI_ISL_582142
LC581372.1	EPI_ISL_582143
LC581373.1	EPI_ISL_582144
LC581374.1	EPI_ISL_582145
LC581375.1	EPI_ISL_582146
LC581376.1	EPI_ISL_582147
LC593801.1	EPI_ISL_649126
LC593802.1	EPI_ISL_649127
LC593803.1	EPI_ISL_649128
LC593804.1	EPI_ISL_649129
LC593805.1	EPI_ISL_649130
LC593806.1	EPI_ISL_649131
LC593807.1	EPI_ISL_649132
LC593808.1	EPI_ISL_649133
LC593809.1	EPI_ISL_649134
LC593810.1	EPI_ISL_649135
LC593811.1	EPI_ISL_649136
LC593812.1	EPI_ISL_649137
LC593813.1	EPI_ISL_649138
LC593814.1	EPI_ISL_649139
LC593815.1	EPI_ISL_649140
LC593816.1	EPI_ISL_649141
LC593817.1	EPI_ISL_649142
LC593818.1	EPI_ISL_649143
LC593819.1	EPI_ISL_649144
LC594644.1	EPI_ISL_855345
LC594645.1	EPI_ISL_855346
LC594646.1	EPI_ISL_855347
LC594647.1	EPI_ISL_855348
LC594648.1	EPI_ISL_855349
LC594649.1	EPI_ISL_855350
LC594650.1	EPI_ISL_855351
LC594651.1	EPI_ISL_855352
LR757995.1	EPI_ISL_406801
